id,ss_milestone_categories_id,study_setup_type,completion_type,name,order,is_active,created_at
89,19,internal,auto,Map Responsibilities to Staff,2,1,2025-12-08 04:27:13
90,20,internal,auto,Upload Signed DOA Log,1,1,2025-12-08 04:27:13
91,20,internal,auto,Verify All Signatures,2,1,2025-12-08 04:27:13
92,20,internal,auto,Approve DOA Completion,3,1,2025-12-08 04:27:13
93,21,internal,auto,Upload Study Training Plan,1,1,2025-12-08 04:27:13
94,21,internal,auto,Distribute Training Materials,2,1,2025-12-08 04:27:13
95,21,internal,auto,Conduct Study Training Session,3,1,2025-12-08 04:27:13
96,21,internal,auto,Upload Protocol Training Certificates,4,1,2025-12-08 04:27:13
97,21,internal,auto,Verify Signature,5,1,2025-12-08 04:27:13
98,22,internal,auto,Upload GCP Certificates for All Staff,1,1,2025-12-08 04:27:13
99,22,internal,auto,Verify GCP Validity Period,2,1,2025-12-08 04:27:13
100,23,internal,auto,Provide EDC Training,1,1,2025-12-08 04:27:13
101,23,internal,auto,Verify EDC Login Activation,2,1,2025-12-08 04:27:13
102,23,internal,auto,Provide CTMS Training,3,1,2025-12-08 04:27:13
103,23,internal,auto,Provide IWRS/IRT Training,4,1,2025-12-08 04:27:13
104,23,internal,auto,Upload System Training Completion Logs,5,1,2025-12-08 04:27:13
105,24,internal,auto,Upload Site Recruitment Plan,1,1,2025-12-08 04:27:22
106,24,internal,auto,Upload Pre-screening Workflow,2,1,2025-12-08 04:27:22
107,24,internal,auto,IRB Approval of Recruitment Materials,3,1,2025-12-08 04:27:22
108,24,internal,auto,Upload Approved Recruitment Materials,4,1,2025-12-08 04:27:22
109,24,internal,auto,Assessment Creation Date,5,1,2025-12-08 04:27:22
110,24,internal,auto,Assessment Training Date,6,1,2025-12-08 04:27:22
111,24,internal,auto,PS Tool & Hot Sheet,7,1,2025-12-08 04:27:22
112,25,internal,auto,Confirm Screening Tools Available,1,1,2025-12-08 04:27:22
113,25,internal,auto,Train Staff on Screening Workflow,2,1,2025-12-08 04:27:22
114,25,internal,auto,Validate Subject Identification Methods,3,1,2025-12-08 04:27:22
115,26,internal,auto,Schedule Screen Priority,1,1,2025-12-08 04:27:22
116,26,internal,auto,Prescreen Completed/xxx,2,1,2025-12-08 04:27:22
117,26,internal,auto,Plan Discussed,3,1,2025-12-08 04:27:22
118,27,internal,auto,Upload Pharmacy License,1,1,2025-12-08 04:27:22
119,27,internal,auto,Complete IP Storage Assessment,2,1,2025-12-08 04:27:22
120,27,internal,auto,Upload Temperature Monitoring Plan,3,1,2025-12-08 04:27:22
121,27,internal,auto,Upload Storage Area Qualification Documents,4,1,2025-12-08 04:27:22
122,27,internal,auto,USIV Date,5,1,2025-12-08 04:27:22
123,27,internal,auto,IP Status,6,1,2025-12-08 04:27:22
124,27,internal,auto,Number of Doses,7,1,2025-12-08 04:27:22
125,27,internal,auto,SSU Checklist,8,1,2025-12-08 04:27:22
126,28,internal,auto,Conduct IP Handling Training,1,1,2025-12-08 04:27:22
127,28,internal,auto,Upload IP Training Certificates,2,1,2025-12-08 04:27:22
128,29,internal,auto,Confirm IP Shipment Sent,1,1,2025-12-08 04:27:22
129,29,internal,auto,Confirm IP Shipment Received,2,1,2025-12-08 04:27:22
130,29,internal,auto,Upload IP Accountability Logs,3,1,2025-12-08 04:27:22
131,30,internal,auto,Approve Pharmacy/IP Readiness,1,1,2025-12-08 04:27:22
132,31,internal,auto,Upload Lab Certifications (CLIA/CAP),1,1,2025-12-08 04:27:22
133,31,internal,auto,Upload Normal Ranges,2,1,2025-12-08 04:27:22
134,31,internal,auto,Upload Lab Manual Acknowledgment,3,1,2025-12-08 04:27:22
135,31,internal,auto,Validate Sample Handling SOPs,4,1,2025-12-08 04:27:22
136,31,internal,auto,Portal Access,5,1,2025-12-08 04:27:22
137,31,internal,auto,Shipping Supplies Received,6,1,2025-12-08 04:27:22
138,31,internal,auto,Lab Manual Received,7,1,2025-12-08 04:27:22
139,31,internal,auto,Local Lab,8,1,2025-12-08 04:27:22
140,31,internal,auto,SSU Checklist,9,1,2025-12-08 04:27:22
141,32,internal,auto,Confirm Lab Kits Received,1,1,2025-12-08 04:27:22
142,32,external,auto,Validate Temperature-Controlled Storage,2,1,2025-12-08 04:27:22
143,32,external,auto,Confirm Courier Setup,3,1,2025-12-08 04:27:22
144,33,external,auto,Approve Laboratory Readiness,1,1,2025-12-08 04:27:22
145,34,external,auto,Collect W-9 / Tax Documents,1,1,2025-12-08 04:27:22
146,34,external,auto,Verify Banking Information,2,1,2025-12-08 04:27:22
147,34,external,auto,Approve Vendor Setup,3,1,2025-12-08 04:27:22
148,34,external,auto,Configure Payment Terms,4,1,2025-12-08 04:27:22
149,34,external,auto,Configure Payment Triggers in CTMS,5,1,2025-12-08 04:27:22
150,36,external,auto,Schedule SIV,1,1,2025-12-08 04:27:22
151,36,external,auto,Share Agenda & Training Materials,2,1,2025-12-08 04:27:22
152,36,external,auto,Conduct Pre-SIV Checks,3,1,2025-12-08 04:27:22
153,37,external,auto,Conduct SIV (onsite or remote),1,1,2025-12-08 04:27:22
154,37,external,auto,Upload SIV Report,2,1,2025-12-08 04:27:22
155,37,external,auto,Capture SIV Attendance,3,1,2025-12-08 04:27:22
156,38,external,auto,Resolve SIV Action Items,1,1,2025-12-08 04:27:22
157,38,external,auto,Approve SIV Completion,2,1,2025-12-08 04:27:22
158,39,external,auto,Regulatory Approval Complete,1,1,2025-12-08 04:27:22
159,39,external,auto,Contract Signed & Budget Finalized,2,1,2025-12-08 04:27:22
160,39,external,auto,Essential Documents Complete,3,1,2025-12-08 04:27:22
161,39,external,auto,DOA Complete,4,1,2025-12-08 04:27:22
162,39,external,auto,Training Complete,5,1,2025-12-08 04:27:22
163,39,external,auto,Pharmacy/IP Ready,6,1,2025-12-08 04:27:22
164,39,external,auto,Lab Ready,7,1,2025-12-08 04:27:22
165,39,external,auto,System Setup Complete,8,1,2025-12-08 04:27:22
166,40,external,auto,Resolve SIV Action Items,1,1,2025-12-08 04:33:37
167,40,external,auto,Approve SIV Completion,2,1,2025-12-08 04:33:37
168,41,external,auto,Regulatory Approval Complete,1,1,2025-12-08 04:33:37
169,41,external,auto,Contract Signed & Budget Finalized,2,1,2025-12-08 04:33:37
170,41,external,auto,Essential Documents Complete,3,1,2025-12-08 04:33:37
171,41,external,auto,DOA Complete,4,1,2025-12-08 04:33:37
172,41,external,auto,Training Complete,5,1,2025-12-08 04:33:37
173,41,external,auto,Pharmacy/IP Ready,6,1,2025-12-08 04:33:37
174,41,external,auto,Lab Ready,7,1,2025-12-08 04:33:37
175,41,external,auto,System Setup Complete,8,1,2025-12-08 04:33:37
176,42,external,auto,Issue Site Activation Letter,1,1,2025-12-08 04:33:37
177,42,external,auto,Upload Activation Letter,2,1,2025-12-08 04:33:37
178,42,external,auto,Mark Site as Active in CTMS,3,1,2025-12-08 04:33:37
